"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"5349","HRVATSKI JEZIK I KNJIŽEVNOST 2 : radna bilježnica za hrvatski jezik i književnost u drugom razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","radna bilježnica","2.","ŠK","Novo","49"
"5350","HRVATSKI JEZIK I KNJIŽEVNOST 3 : integrirani udžbenik hrvatskog jezika i književnosti u trećem razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","udžbenik","3.","ŠK","Novo","119"
"5351","HRVATSKI JEZIK I KNJIŽEVNOST 3 : radna bilježnica za hrvatski jezik i književnost u trećem razredu trogodišnje srednje strukovne škole","Andreja Jureković Perković, Marija Matković","radna bilježnica","3.","ŠK","Novo","49"
"5455","HRVATSKI JEZIK I KNJIŽEVNOST 1 : integrirani udžbenik za 1. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","udžbenik","1.","ŠK","Novo","119"
"5456","HRVATSKI JEZIK I KNJIŽEVNOST 1 : radna bilježnica uz integrirani udžbenik za 1. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","radna bilježnica","1.","ŠK","Novo","49"
"5457","HRVATSKI JEZIK I KNJIŽEVNOST 2 : integrirani udžbenik za 2. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","udžbenik","2.","ŠK","Novo","119"
"5458","HRVATSKI JEZIK I KNJIŽEVNOST 2 : radna bilježnica uz integrirani udžbenik za 2. razred srednje medicinske škole","Dubravka Bouša, Marija Gazzari, Žarko Gazzari","radna bilježnica","2.","ŠK","Novo","49"
"1377","LJEPOTA RIJEČI 1-3 : čitanka iz književnosti za trogodišnje strukovne škole za stjecanje niže stručne spreme po posebnom programu","Franca Puškarić","udžbenik","1.-3.","ŠK","","104"
"2350","NAŠ HRVATSKI 1-3 : udžbenik iz hrvatskog jezika za trogodišnju strukovnu školu za stjecanje niže stručne spreme prema posebnom programu","Franca Puškarić","udžbenik","1.-3.","ŠK","","105"
"2357","NAŠ HRVATSKI 1-3 : radna bilježnica iz hrvatskog jezika za trogodišnju strukovnu školu za stjecanje niže stručne spreme prema posebnom programu","Franca Puškarić","radna bilježnica","1.-3.","ŠK","","76"
"1472","HEAD FOR BUSINESS INTERMEDIATE Student's Book : udžbenik engleskog jezika za 1. i 2. razred ekonomskih škola, prvi strani jezik","Jon Naunton","udžbenik","1.-2.","ALGORITAM","","104"
"1473","HEAD FOR BUSINESS INTERMEDIATE Workbook : radna bilježnica za engleski jezik za 1. i 2. razred ekonomskih škola, prvi strani jezik","Jon Naunton","radna bilježnica","1.-2.","ALGORITAM","","57"
"1476","HIGHLY RECOMMENDED Student's Book : udžbenik engleskog jezika za 1. razred ugostiteljskih i turističkih škola, prvi strani jezik","Rod Revell, Trish Stott","udžbenik","1.","ALGORITAM","","104"
"1477","HIGHLY RECOMMENDED Workbook : radna bilježnica za engleski jezik za 1. razred ugostiteljskih i turističkih škola, prvi strani jezik","Rod Revell, Trish Stott","radna bilježnica","1.","ALGORITAM","","57"
"1478","TECH TALK ELEMENTARY Student's Book : udžbenik engleskog jezika za 1. i 2. razred 3-godišnjih strojarskih škola","Vicki Hollett","udžbenik","1.-2.","ALGORITAM","","104"
"1479","TECH TALK ELEMENTARY Workbook : radna bilježnica za engleski jezik za 1. i 2. razred 3-godišnjih strojarskih škola","Brian Cross, John Sydes","radna bilježnica","1.-2.","ALGORITAM","","57"
"3949","TUNE UP! : udžbenik engleskog jezika s CD-om za prvi razred ekonomske škole, prvi strani jezik","Boris Anić, Petra Buljević, Susan D. Curtis, Milena Gilić, Višnja Pentić","udžbenik s CD-om","1.","PROFIL","","99"
"3444","TUNE UP! : radna bilježnica iz engleskoga jezika za prvi razred ekonomske škole, prvi strani jezik","Boris Anić, Petra Buljević, Milena Gilić, Phil Hewitt","radna bilježnica","1.","PROFIL","","59"
"1453","CAN I HELP YOU...WITH YOUR ENGLISH? 1 : udžbenik za 1. razred strukovnih škola : 6. godina učenja","Elizabeth Harrison-Paj","udžbenik","1.","ŠK","","95"
"1452","CAN I HELP YOU...WITH YOUR ENGLISH? 1 : radna bilježnica za 1. razred strukovnih škola : 6. godina učenja","Elizabeth Harrison-Paj","radna bilježnica","1.","ŠK","","50"
"1502","YOU'RE WELCOME 1 : udžbenik engleskog jezika za ugostiteljsku struku","Mirjana Jurčić, Dunja Palčok","udžbenik","1.-2.","ŠK","","93"
"2092","CATCH UP WITH YOUR ENGLISH PLUS : udžbenik engleskog jezika za 1. i 2. razred strukovnih škola : 6. i 7. godina učenja","Martina Horvat, Evelina Mišćin","udžbenik","1.-2.","ŠK","","95"
"2090","CATCH UP WITH YOUR ENGLISH PLUS : radna bilježnica 1 iz engleskog jezika za 1. razred strukovnih škola : 6. godina učenja","Martina Horvat, Evelina Mišćin","radna bilježnica","1.","ŠK","","50"
"2091","CATCH UP WITH YOUR ENGLISH PLUS : radna bilježnica 2 iz engleskog jezika za 2. razred strukovnih škola : 7. godina učenja","Martina Horvat","radna bilježnica","2.","ŠK","","50"
"2280","LOG ON @ 1 IN FRAME : udžbenik engleskog jezika za 1. razred gimnazije i srednjih četverogodišnjih škola : 6. godina učenja","Martin Doolan, Stephen Hindlaugh, Bob Špaleta","udžbenik","1.","ŠK","","96"
"2279","LOG ON @ 1 IN FRAME : radna bilježnica iz engleskog jezika za 1. razred gimnazija i srednjih četverogodišnjih škola : 6. godina učenja","Martin Doolan, Stephen Hindlaugh, Bob Špaleta","radna bilježnica","1.","ŠK","","57"
"1480","TECH TALK PRE-INTERMEDIATE Student's Book : udžbenik engleskog jezika za 2. razred 3-godišnjih strukovnih škola","Vicki Hollett","udžbenik","2.","ALGORITAM","","104"
"1481","TECH TALK PRE-INTERMEDIATE Workbook : radna bilježnica za engleski jezik za 2. razred 3-godišnjih strukovnih škola","John Sydes","radna bilježnica","2.","ALGORITAM","","57"
"1455","CAN I HELP YOU…WITH YOUR ENGLISH? 2 : udžbenik za 2. razred strukovnih škola : 7. godina učenja","Elizabeth Harrison-Paj","udžbenik","2.","ŠK","","95"
"1454","CAN I HELP YOU…WITH YOUR ENGLISH? 2 : radna bilježnica za 2. razred strukovnih škola : 7. godina učenja","Elizabeth Harrison-Paj","radna bilježnica","2.","ŠK","","50"
"1485","ENGLISH FOR THE CATERING INDUSTRY Flapjacks 1 : udžbenik engleskog jezika za 2. razred ugostiteljske škole : 7. godina učenja","Elizabeth Harrison-Paj","udžbenik","2.","ŠK","","106"
"1484","ENGLISH FOR THE CATERING INDUSTRY Flapjacks 1 : radna bilježnica iz engleskog jezika za 2. razred ugostiteljske škole : 7. godina učenja","Elizabeth Harrison-Paj","radna bilježnica","2.","ŠK","","62"
"2282","LOG ON @ 2 IN FRAME : udžbenik engleskog jezika za 2. razred gimnazije i srednjih četverogodišnjih škola : 7. godina učenja","Martin Doolan, Stephen Hindlaugh, Katarina Ivić-Doolan","udžbenik","2.","ŠK","","96"
"2281","LOG ON @ 2 IN FRAME : radna bilježnica iz engleskog jezika za 2. razred gimnazija i srednjih četverogodišnjih škola : 7. godina učenja","Martin Doolan, Stephen Hindlaugh, Katarina Ivić-Doolan","radna bilježnica","2.","ŠK","","57"
"1474","HEAD FOR BUSINESS UPPER-INTERMEDIATE Student's Book : udžbenik engleskog jezika za 3. i 4. razred ekonomskihškola, prvi strani jezik","Jon Naunton","udžbenik","3.-4.","ALGORITAM","","103"
"1475","HEAD FOR BUSINESS UPPER-INTERMEDIATE Workbook : radna bilježnica za engleski jezik za 3. i 4. razred ekonomskih škola, prvi strani jezik","Jon Naunton","radna bilježnica","3.-4.","ALGORITAM","","56"
"2236","TOURISM 2 Student's Book : udžbenik engleskog jezika za 3. i 4. razred turističkih i ugostiteljskih strukovnih škola, prvi strani jezik","Keith Harding, Robin Walker","udžbenik","3.-4.","ALGORITAM","","105"
"3965","TECH TALK INTERMEDIATE Student˙s Book : udžbenik engleskog jezika za 3. razrede trogodišnjih i četvorogodišnjih strojarskih i tehničkih škola","Vicky Hollett, John Sydes","udžbenik s CD-om","3.","ALGORITAM","","103"
"3485","TECH TALK INTERMEDIATE Workbook : radna bilježnica za engleski jezik za 3. razrede trogodišnjih i četvorogodišnjih strojarskih i tehničkih škola","Lewis Lansford","radna bilježnica","3.","ALGORITAM","","56"
"1457","CAN I HELP YOU…WITH YOUR ENGLISH? 3 : udžbenik engleskog jezika za 3. razred srednje strukovne škole : 8. godina učenja","Elizabeth Harrison-Paj","udžbenik","3.","ŠK","","95"
"1456","CAN I HELP YOU…WITH YOUR ENGLISH? 3 : radna bilježnica iz engleskog jezika za 3. razred srednje strukovne škole : 8. godina učenja","Elizabeth Harrison-Paj","radna bilježnica","3.","ŠK","","50"
